model_name,agent_name,eval_name,tasks,successes,failures,errors,accuracy,total_reward,total_steps,max_steps_hit,cached_tokens,input_tokens,reasoning_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,total_time,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
gpt-5.2,plus-planner-v3.1,tw-coin-3,1,0,1,0,0.0,0.0,19,0,104832,49889,0,1916,156637,0.10565135,0.026824,0.13247535,50.31540870666504,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-coin-3,1,0,1,0,0.0,0.0,19,0,104832,52089,0,1868,158789,0.10950135,0.026152,0.13565335,45.0236542224884,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-coin-3,1,0,1,0,0.0,0.0,19,0,102912,54003,0,2002,158917,0.11251485,0.0280279999999999,0.14054285,55.41317915916443,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-coin-3,1,0,1,0,0.0,0.0,19,0,77952,57886,0,1202,137040,0.1149421,0.016828,0.1317701,45.17748022079468,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,347520,206751,0,18708,572979,0.42263025,0.261912,0.68454225,307.63149094581604,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,349696,203285,0,16723,569704,0.41694555,0.2341219999999999,0.6510675499999999,261.21124625205994,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,346752,193854,0,17858,558464,0.3999261,0.250012,0.6499381,274.554970741272,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,322944,231044,0,17520,571508,0.4608422,0.24528,0.7061222,260.9211964607239,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,354304,202180,0,19396,575880,0.4158181999999999,0.271544,0.6873621999999999,326.98557019233704,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.1,tw-cooking-3,1,0,1,0,0.0,0.4375,54,0,242048,148190,0,6177,396415,0.3016909,0.086478,0.3881689,149.24739742279053,0.4375,0.0081018518518518,1.10364138592132e-06
gpt-5.2,plus-planner-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,12,0,61824,42322,0,1571,105717,0.0848827,0.021994,0.1068767,42.1150426864624,1.0,0.0833333333333333,9.459216587682207e-06
gpt-5.2,plus-planner-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,8,0,48384,22944,0,850,72178,0.0486192,0.0118999999999999,0.0605192,20.441181898117065,1.0,0.125,1.3854637147053118e-05
gpt-5.2,plus-planner-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,8,0,30336,42315,0,850,73501,0.07936005,0.0118999999999999,0.09126005,23.608683109283447,1.0,0.125,1.3605257071332362e-05
gpt-5.2,plus-planner-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,8,0,40960,31589,0,796,73345,0.06244875,0.011144,0.07359275,26.65367317199707,1.0,0.125,1.363419455995637e-05
gpt-5.2,plus-planner-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,8,0,21504,42525,0,850,64879,0.07818195,0.0118999999999999,0.09008195,20.793045043945312,1.0,0.125,1.5413307849997687e-05
gpt-5.2,plus-planner-v3.1,tw-treasure-3,1,1,0,0,1.0,1.0,3,0,18816,11176,0,132,30124,0.0228507999999999,0.001848,0.0246987999999999,7.031253337860107,1.0,0.3333333333333333,3.3196122692869474e-05
gpt-5.2,plus-planner-v3.2,tw-coin-3,1,1,0,0,1.0,1.0,12,0,70144,21389,0,994,92527,0.04970595,0.013916,0.06362195,37.07070970535278,1.0,0.0833333333333333,1.0807656143612135e-05
gpt-5.2,plus-planner-v3.2,tw-coin-3,1,1,0,0,1.0,1.0,10,0,46592,42612,0,949,90153,0.0827246,0.013286,0.0960106,27.62769150733948,1.0,0.1,1.1092254278837088e-05
gpt-5.2,plus-planner-v3.2,tw-cooking-3,1,0,1,0,0.0,0.3125,50,0,246272,126400,0,6336,379008,0.2642976,0.0887039999999999,0.3530016,133.24834847450256,0.3125,0.00625,8.245208544410672e-07
gpt-5.2,plus-planner-v3.2,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,320128,245722,0,14305,580155,0.4860358999999999,0.20027,0.6863059,246.43672585487369,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.2,tw-simple-1,1,1,0,0,1.0,1.0,8,0,36096,28910,0,764,65770,0.0569093,0.010696,0.0676053,20.185948133468628,1.0,0.125,1.520450053215752e-05
gpt-5.2,plus-planner-v3.2,tw-simple-1,1,1,0,0,1.0,1.0,8,0,22528,51702,0,796,75026,0.0944208999999999,0.011144,0.1055648999999999,21.197779417037964,1.0,0.125,1.3328712712926186e-05
gpt-5.2,plus-planner-v3.3,tw-coin-3,1,1,0,0,1.0,1.0,10,0,55424,33626,0,949,89999,0.0685447,0.013286,0.0818307,26.825730562210083,1.0,0.1,1.1111234569272993e-05
gpt-5.2,plus-planner-v3.3,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,387968,170814,0,8167,566949,0.3668188999999999,0.114338,0.4811568999999999,195.2662029266357,0.0,0.0,0.0
gpt-5.2,plus-planner-v3.3,tw-simple-1,1,1,0,0,1.0,1.0,8,0,32256,41950,0,850,75056,0.0790573,0.0118999999999999,0.0909573,24.43282127380371,1.0,0.125,1.3323385205713069e-05
gpt-5.2,plus-planner-v3.4,tw-coin-3,1,1,0,0,1.0,1.0,12,0,84096,29443,0,1457,114996,0.06624205,0.020398,0.08664005,40.34609198570252,1.0,0.0833333333333333,8.695954641900589e-06
gpt-5.2,plus-planner-v3.4,tw-coin-3,1,1,0,0,1.0,1.0,10,0,66688,32072,0,1214,99974,0.0677964,0.016996,0.0847924,35.22933745384216,1.0,0.1,1.0002600676175803e-05
gpt-5.2,plus-planner-v3.4,tw-cooking-3,1,1,0,0,1.0,1.0,34,0,190336,130384,0,10122,330842,0.2614807999999999,0.141708,0.4031887999999999,175.04100108146667,1.0,0.0294117647058823,3.022590843967816e-06
gpt-5.2,plus-planner-v3.4,tw-cooking-3,1,0,1,0,0.0,0.875,47,0,291328,158104,0,12823,462255,0.3276643999999999,0.179522,0.5071863999999999,241.2345094680786,0.875,0.0186170212765957,1.8928946144444084e-06
gpt-5.2,plus-planner-v3.4,tw-simple-1,1,1,0,0,1.0,1.0,9,0,44800,40467,0,1956,87223,0.07865725,0.027384,0.10604125,45.661426067352295,1.0,0.1111111111111111,1.1464865918393085e-05
gpt-5.2,plus-planner-v3.4,tw-simple-1,1,1,0,0,1.0,1.0,8,0,39424,41449,0,1416,82289,0.0794349499999999,0.0198239999999999,0.0992589499999999,34.02944874763489,1.0,0.125,1.215229252998578e-05
gpt-5.2,plus-planner-v3.4,tw-simple-1,1,1,0,0,1.0,1.0,8,0,39040,43588,0,1277,83905,0.083111,0.0178779999999999,0.100989,27.82648730278015,1.0,0.125,1.1918240867647937e-05
gpt-5.2,plus-reasoner-v3.0,tw-cooking-3,10,0,10,0,0.0,1.8172268907563025,621,0,2571904,2633241,0,48805,5253950,5.058254949999999,0.68327,5.74152495,2385.813763618469,0.1817226890756302,0.0029262912894626,3.4587822319517744e-07
gpt-5.2,plus-reasoner-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,52736,54961,0,634,108331,0.10541055,0.008876,0.11428655,43.64692807197571,1.0,0.0833333333333333,9.230968051619571e-06
gpt-5.2,plus-summarizer-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,49920,52665,0,275,102860,0.1008997499999999,0.00385,0.1047497499999999,41.34946274757385,1.0,0.0833333333333333,9.721952167995334e-06
gpt-5.2,plus-summarizer-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,68864,35632,0,275,104771,0.0744071999999999,0.00385,0.0782572,189.42001366615293,1.0,0.0833333333333333,9.544625898387911e-06
gpt-5.2,react-kn-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,27392,18776,0,328,46496,0.0376516,0.004592,0.0422436,21.480549335479736,1.0,0.0833333333333333,2.150722642807984e-05
gpt-5.2,react-kn-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,31360,19476,0,380,51216,0.039571,0.00532,0.044891,20.886462926864624,1.0,0.0833333333333333,1.952514839112777e-05
gpt-5.2,react-kn-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,36224,15203,0,355,51782,0.03294445,0.00497,0.03791445,20.309992790222168,1.0,0.0833333333333333,1.9311729944768453e-05
gpt-5.2,react-kn-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,35328,15949,0,350,51627,0.03409315,0.0049,0.03899315,24.13439989089965,1.0,0.0833333333333333,1.936970964805237e-05
gpt-5.2,topline-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,213376,173014,0,1619,388009,0.3401153,0.022666,0.3627813,99.28623652458192,1.0,0.0833333333333333,2.577259805829246e-06
gpt-5.2,topline-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,216960,161927,0,1802,380689,0.32134025,0.025228,0.34656825,110.32923817634584,1.0,0.0833333333333333,2.6268161149915022e-06
gpt-5.2,topline-v3.1,tw-coin-3,1,0,1,0,0.0,0.0,19,0,375040,158893,0,3797,537730,0.34369475,0.053158,0.39685275,133.15773391723633,0.0,0.0,0.0
gpt-5.2,topline-v3.1,tw-cooking-3,1,1,0,0,1.0,1.0,55,0,1102208,562630,0,21293,1686131,1.1774889,0.298102,1.4755908999999998,458.7082374095917,1.0,0.0181818181818181,5.930737291467863e-07
gpt-5.2,topline-v3.1,tw-simple-1,1,1,0,0,1.0,1.0,8,0,116864,124066,0,1731,242661,0.2375667,0.024234,0.2618007,55.06226587295532,1.0,0.125,4.120975352446417e-06
gpt-5.2,topline-v3.2,tw-coin-3,1,1,0,0,1.0,1.0,10,0,198272,81135,0,1815,281222,0.17668385,0.02541,0.20209385,62.62215042114258,1.0,0.1,3.555909566107915e-06
gpt-5.2,topline-v3.2,tw-cooking-3,1,1,0,0,1.0,1.0,62,0,1214848,591547,0,13582,1819977,1.24780565,0.190148,1.43795365,437.8307073116303,1.0,0.0161290322580645,5.494574931441441e-07
gpt-5.2,topline-v3.2,tw-simple-1,1,1,0,0,1.0,1.0,8,0,127360,103204,0,1554,232118,0.202895,0.021756,0.224651,50.394278049468994,1.0,0.125,4.308153611525172e-06
gpt-5.2,topline-v3.3,tw-coin-3,1,1,0,0,1.0,1.0,10,0,165504,129040,0,2040,296584,0.2547832,0.02856,0.2833432,69.93077373504639,1.0,0.1,3.371726054001565e-06
gpt-5.2,topline-v3.3,tw-cooking-3,1,1,0,0,1.0,1.0,53,0,960640,682585,0,21307,1664532,1.36263575,0.298298,1.66093375,468.84722089767456,1.0,0.0188679245283018,6.007694655314527e-07
gpt-5.2,topline-v3.3,tw-simple-1,1,1,0,0,1.0,1.0,8,0,68608,174449,0,1629,244686,0.31729215,0.022806,0.34009815,53.8229455947876,1.0,0.125,4.086870519768193e-06
gpt-5.2,topline-v3.4,tw-coin-3,1,1,0,0,1.0,1.0,10,0,228480,77497,0,2478,308455,0.1756037499999999,0.034692,0.2102957499999999,78.78526782989502,1.0,0.1,3.2419639817801624e-06
gpt-5.2,topline-v3.4,tw-coin-3,1,1,0,0,1.0,1.0,10,0,222080,86058,0,2342,310480,0.1894655,0.032788,0.2222535,80.37761402130127,1.0,0.1,3.220819376449369e-06
gpt-5.2,topline-v3.4,tw-cooking-3,1,0,1,0,0.0,0.0,66,0,1487744,621858,0,33892,2143494,1.3486067000000002,0.4744879999999999,1.8230947,806.7526636123657,0.0,0.0,0.0
gpt-5.2,topline-v3.4,tw-cooking-3,1,1,0,0,1.0,1.0,58,0,1293824,583019,0,27586,1904429,1.24670245,0.386204,1.63290645,593.5815758705139,1.0,0.017241379310344827,5.250917729146111e-07
gpt-5.2,topline-v3.4,tw-simple-1,1,1,0,0,1.0,1.0,8,0,122368,130519,0,2165,255052,0.2498226499999999,0.0303099999999999,0.28013265,70.9855215549469,1.0,0.125,3.920769098066277e-06
gpt-5.2,topline-v3.4,tw-simple-1,1,1,0,0,1.0,1.0,8,0,129792,125161,0,2250,257203,0.24174535,0.0315,0.27324535,79.09717988967896,1.0,0.125,3.887979533675735e-06
gpt-5.4,plus-reasoner-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,74880,32683,0,553,108116,0.1004274999999999,0.008295,0.1087224999999999,28.04440259933472,1.0,0.0833333333333333,9.249324799289653e-06
gpt-5.4,plus-reasoner-v3.0,tw-simple-1,1,1,0,0,1.0,1.0,12,0,79744,27865,0,639,108248,0.0895985,0.009585,0.0991835,60.63368725776672,1.0,0.0833333333333333,9.23804596851674e-06
